Ethernet Type,Packet Length,Service,Source IP,Destination IP,Source Port,Destination Port,Protocol,TCP Flags,Checksum,TCP Window Size,ICMP Type
IPv6,1294,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0xeaa6,0,0
IPv6,1294,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0xbcf7,0,0
IPv6,1294,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0xae28,0,0
IPv4,91,UDP,192.168.1.5,192.168.1.254,40511,53,DNS,0,0x849e,0,0
IPv6,100,UDP,2001:bb6:48d0:da00:8018:eff9:716a:853e,2a00:1450:400b:c03::5b,52089,443,QUIC,0,0x403c,0,0
IPv6,1294,UDP,2001:bb6:48d0:da00:8018:eff9:716a:853e,2a00:1450:400b:c03::5b,52089,443,QUIC,0,0x44e6,0,0
IPv6,690,UDP,2001:bb6:48d0:da00:8018:eff9:716a:853e,2a00:1450:400b:c03::5b,52089,443,QUIC,0,0x428a,0,0
IPv6,517,UDP,2001:bb6:48d0:da00:8018:eff9:716a:853e,2a00:1450:400b:c03::5b,52089,443,QUIC,0,0x41dd,0,0
IPv4,107,UDP,192.168.1.254,192.168.1.5,53,40511,DNS,0,0xbd5e,0,0
IPv6,1290,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0x9d6b,0,0
IPv6,1294,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0x3eb1,0,0
IPv6,1294,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0x8c83,0,0
IPv6,1294,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0xb187,0,0
IPv6,1294,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0xb649,0,0
IPv6,1294,UDP,2a00:1450:400b:c03::5b,2001:bb6:48d0:da00:8018:eff9:716a:853e,443,52089,QUIC,0,0xefc1,0,0
