Ethernet Type,Packet Length,Service,Source IP,Destination IP,Source Port,Destination Port,Protocol,TCP Flags,Checksum,TCP Window Size,ICMP Type
IPv6,93,UDP,2001:bb6:48d0:da00:7c5c:1087:a562:a487,2a00:1450:400b:c01::9d,61227,443,QUIC,0,0x689d,0,0
IPv6,89,UDP,2a00:1450:400b:c01::9d,2001:bb6:48d0:da00:7c5c:1087:a562:a487,443,61227,QUIC,0,0x5dde,0,0
IPv6,87,UDP,2a00:1450:400b:c01::9d,2001:bb6:48d0:da00:7c5c:1087:a562:a487,443,61227,QUIC,0,0xb626,0,0
IPv6,700,UDP,2001:bb6:48d0:da00:7c5c:1087:a562:a487,2a00:1450:400b:c01::9d,61227,443,QUIC,0,0x1c09,0,0
IPv6,1292,UDP,2001:bb6:48d0:da00:7c5c:1087:a562:a487,2606:4700::6812:15ce,54007,443,QUIC,0,0x2642,0,0
IPv6,1292,UDP,2001:bb6:48d0:da00:7c5c:1087:a562:a487,2606:4700::6812:15ce,54007,443,QUIC,0,0x59c1,0,0
IPv6,1262,UDP,2606:4700::6812:15ce,2001:bb6:48d0:da00:7c5c:1087:a562:a487,443,54007,QUIC,0,0x8c67,0,0
IPv6,1262,UDP,2606:4700::6812:15ce,2001:bb6:48d0:da00:7c5c:1087:a562:a487,443,54007,QUIC,0,0xf434,0,0
IPv6,1262,UDP,2606:4700::6812:15ce,2001:bb6:48d0:da00:7c5c:1087:a562:a487,443,54007,QUIC,0,0xc4c4,0,0
IPv6,1262,UDP,2606:4700::6812:15ce,2001:bb6:48d0:da00:7c5c:1087:a562:a487,443,54007,QUIC,0,0xea0a,0,0
IPv6,1292,UDP,2001:bb6:48d0:da00:7c5c:1087:a562:a487,2606:4700::6812:15ce,54007,443,QUIC,0,0x1de1,0,0
IPv6,541,UDP,2001:bb6:48d0:da00:7c5c:1087:a562:a487,2606:4700::6812:15ce,54007,443,QUIC,0,0x1041,0,0
IPv6,700,UDP,2001:bb6:48d0:da00:7c5c:1087:a562:a487,2a00:1450:400b:c01::9d,61227,443,QUIC,0,0xdf76,0,0
IPv6,547,UDP,2606:4700::6812:15ce,2001:bb6:48d0:da00:7c5c:1087:a562:a487,443,54007,QUIC,0,0xbbd6,0,0
IPv6,86,UDP,2606:4700::6812:15ce,2001:bb6:48d0:da00:7c5c:1087:a562:a487,443,54007,QUIC,0,0x529a,0,0
IPv6,92,UDP,2606:4700::6812:15ce,2001:bb6:48d0:da00:7c5c:1087:a562:a487,443,54007,QUIC,0,0x0e20,0,0
IPv6,111,UDP,2606:4700::6812:15ce,2001:bb6:48d0:da00:7c5c:1087:a562:a487,443,54007,QUIC,0,0xcf12,0,0
IPv6,92,UDP,2a00:1450:400b:c01::9d,2001:bb6:48d0:da00:7c5c:1087:a562:a487,443,61227,QUIC,0,0x66c0,0,0
IPv6,679,UDP,2606:4700::6812:15ce,2001:bb6:48d0:da00:7c5c:1087:a562:a487,443,54007,QUIC,0,0xf681,0,0
IPv6,415,UDP,2a00:1450:400b:c01::9d,2001:bb6:48d0:da00:7c5c:1087:a562:a487,443,61227,QUIC,0,0xc6c7,0,0
IPv6,83,UDP,2a00:1450:400b:c01::9d,2001:bb6:48d0:da00:7c5c:1087:a562:a487,443,61227,QUIC,0,0x7fb1,0,0
IPv6,105,UDP,2001:bb6:48d0:da00:7c5c:1087:a562:a487,2606:4700::6812:15ce,54007,443,QUIC,0,0x9879,0,0
IPv6,109,UDP,2001:bb6:48d0:da00:7c5c:1087:a562:a487,2606:4700::6812:15ce,54007,443,QUIC,0,0x2c43,0,0
IPv6,97,UDP,2001:bb6:48d0:da00:7c5c:1087:a562:a487,2a00:1450:400b:c01::9d,61227,443,QUIC,0,0xfe19,0,0
